✔,ID,Jeu,👤,🇬🇧 Name,Name (Romaji),elem ico,Élément,Nom (Kanji),🇬🇧 Nickname,🇫🇷 Nickname,Sexe,Role,Position,"2nde
pos",Pref,Style,Lvl,Rareté,Kick,Ctrl,Tech,Intl,Pres,Phys,Agil,Shoot,AT Focus,DF Focus,AT Duel,DF Duel,Wall,Keeper,Total,N Kick,N Ctrl,N Tech,N Intl,N Pres,N Phys,N Agil,N Shoot,N AT Focus,N DF Focus,N AT Duel,N DF Duel,N Wall,N Keeper,N Total,🇬🇧 Skill lvl 1,🇬🇧 Skill lvl 13,🇬🇧 Skill lvl 20,🇬🇧 Skill lvl 30,🇬🇧 Skill lvl 38,🇬🇧 Skill lvl 43,🇫🇷 Skill lvl 1,🇫🇷 Skill lvl 13,🇫🇷 Skill lvl 20,🇫🇷 Skill lvl 30,🇫🇷 Skill lvl 38,🇫🇷 Skill lvl 43,École/Club/Équipe,Description,Recrutement,tampon,url
FALSE,13,IE,,Jim Wraith,Jin Kageno,,Forêt,影野 仁,Jim,Jim,♂,,DF,GK,,Justice,50,Légendaire,120,126,127,154,137,142,123,246,313,342,296,291,279,1192,929,86,90,91,110,98,102,88,176,224,245,212,208,200,854,665,Feint Play,Coil Turn,Shadow Stitch,,,,Feinte,Spirale de défense,Ombre furtive,,,,Raimon,"Gives off spooky, half-ghost vibes, but all he really wants is to be noticed.","Player Universe: Instructus Notara | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here! / FF International Route: Kick-off to Tomorrow! | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/o/w/owsgutjimb8.png
FALSE,14,IE,,William Glass,Kakeru Megane,,Forêt,目金 欠流,Glass,Willy,♂,,FW,MF,,Justice,50,Légendaire,154,151,137,135,123,119,113,305,365,328,254,258,242,1055,932,110,108,98,97,88,85,81,218,261,235,182,185,173,755,667,Bounce Shot,Spectacle Crash,Divine Arrows,,,,Tir à rebond,Brise-lunettes,Flèche céleste,,,,Raimon,"Self-describing as a popular guy who looks great in glasses, he may come off as vain, but his Otaku knowledge is the real deal.","Player Universe: Oculi | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Surpass Royal Academy!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon! | Free Match: Inazuma Eleven 2: Raimon | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/u/y/uy2tfhpjks0.png
FALSE,15,IE,,Erik Eagle,Kazuya Ichinose,,Forêt,一之瀬 一哉,Erik,Erik,♂,,MF,FW,,Bond,50,Légendaire,140,151,147,135,123,123,113,291,368,338,258,258,246,1067,932,100,108,105,97,88,88,81,208,263,242,185,185,176,764,667,Deceptive Step,Spinning Shot,Illusory Ball,,,,Enjambée trompeuse,Tir hélicoptère,Ballon illusoire,,,,Raimon,An all-rounder once lauded as a genius. A powerhouse up front and a wall in the back.,"Player Universe: Oculi, Friendarion, Summitas | Chronicle Competition Route: Football Frontier Route: Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Surpass Royal Academy!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon! / FF International Route: Kick-off to Tomorrow! | Free Match: Inazuma Eleven 2: Raimon / Inazuma Eleven 3: Graduation Team B | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/e/4/e4qtt3lwf_m.png
FALSE,16,IE,,Bobby Shearer,Asuka Domon,,Forêt,土門 飛鳥,Bobby,Bobby,♂,,DF,MF,,Tension,50,Légendaire,120,126,127,154,137,142,123,246,313,342,296,291,279,1192,929,86,90,91,110,98,102,88,176,224,245,212,208,200,854,665,Rolling Steal,Killer Slide,Volcano Cut,,,,Vol enroulé,Tacle de la mort,Volcan circulaire,,,,"Raimon, Royal Academy","Despite his somewhat frivolous nature, he has a warm heart and genuinely cares for his friends.","Player Universe: Friendarion | Chronicle Competition Route: Football Frontier Route: The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Surpass Royal Academy!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon! / FF International Route: Kick-off to Tomorrow! | Free Match: Inazuma Eleven 3: Graduation Team B | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/-/x/-xzmaq-eqf8.png
FALSE,17,IE,,Silvia Woods,Aki Kino,,Montagne,木野 秋,Silvia,Silvia,♀,Manager,GK,DF,,Tension,50,Légendaire,126,135,127,135,137,147,155,261,325,339,282,272,284,1335,962,90,97,91,97,98,105,111,187,233,243,202,195,203,955,689,Mighty Save,God Hand,Blazing Knuckle,,,,Arrêt valeureux,Main céleste,Poing explosif,,,,Raimon,A strong and supportive big-sister type who brought the football club back to life with Mark Evans.,"Player Universe: Supportus | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon! / FF International Route: Ride Over the Big Wave!, Scorching Desert Trap!, Replacements?!, Asia's Perfect Strategy!, The Sacred Knights, The Looming Fortress!, Phoenix's Determination, Red Matador Powerhouse!, Mister D's Football, The Kingdom's Revenge!, Terrifying Team Zoolan!, Bianchi's Friendship!, Little Gigantes Showdown",,https://dxi4wb638ujep.cloudfront.net/1/k/c/b/cb88nfolkwe.png
FALSE,18,IE,,Celia Hills,Haruna Otonashi,,Vent,音無 春奈,Celia,Celia,♀,Manager,MF,DF,,Bond,50,Légendaire,145,156,152,140,127,128,119,301,380,351,268,267,255,1114,967,104,112,109,100,91,92,85,216,273,251,192,191,183,798,693,Feint Dash,Illusory Ball,Spinning Cut,,,,Accélération feintée,Ballon illusoire,Scie circulaire,,,,Raimon,"A master of digging up info, her footie knowledge may rival even Jude's.","Player Universe: Penguion | Chronicle Competition Route: Football Frontier Route: Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon! / FF International Route: Ride Over the Big Wave!, Scorching Desert Trap!, Replacements?!, Asia's Perfect Strategy!, The Sacred Knights, The Looming Fortress!, Phoenix's Determination, Red Matador Powerhouse!, Mister D's Football, The Kingdom's Revenge!, Terrifying Team Zoolan!, Bianchi's Friendship!, Little Gigantes Showdown",,https://dxi4wb638ujep.cloudfront.net/1/k/z/p/zpndk6oxjls.png
FALSE,19,IE,,Nelly Raimon,Natsumi Raimon,,Feu,雷門 夏未,Nelly,Nelly,♀,Manager,FW,MF,,Bond,50,Légendaire,169,161,147,130,123,119,119,330,392,336,249,253,242,1079,968,121,115,105,93,88,85,85,236,280,240,178,181,173,771,692,Will-o'-the-Wisp Shot,Bed of Roses,Matador Feint,,,,Tir en cloche,Tir de la rose,Esquive du torero,,,,Raimon,A strong-willed young lady. Her dad will tell you she's a big softy at heart.,"Player Universe: Orbis Ricarra | Chronicle Competition Route: Football Frontier Route: Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon!",,https://dxi4wb638ujep.cloudfront.net/1/k/x/i/xikbkjcdmjs.png
FALSE,20,IE,,Joseph King,Kojiro Genda,,Feu,源田 幸次郎,King,King,♂,,GK,MF,,Breach,50,Légendaire,126,135,127,135,137,147,155,261,325,339,282,272,284,1335,962,90,97,91,97,98,105,111,187,233,243,202,195,203,955,689,Mighty Save,Power Shield,Full Power Shield,,,,Arrêt valeureux,Bouclier d'énergie,Bouclier d'énergie totale,,,,"Royal Academy, Neo National",The King of Keepers. There is no angle that he can not cover.,"Spirit Market | Player Universe: Penguion, Tropheus | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Toe-to-Toe with Royal Academy / Alius Route: Surpass Royal Academy! / FF International Route: Replacements?! | Free Match: Inazuma Eleven: Royal Academy / Inazuma Eleven 3: Neo National | Battle Bay Stadium: Royal Academy",,https://dxi4wb638ujep.cloudfront.net/1/k/9/w/9wtikebapts.png
FALSE,21,IE,,Peter Drent,Densuke Ono,,Montagne,大野 伝助,Drent,Drent,♂,,DF,FW,,Rough,50,Légendaire,116,120,123,149,133,138,119,236,301,331,287,282,271,1156,898,83,86,88,107,95,99,85,169,215,237,206,202,194,827,643,Feint Play,Earthquake,Illusory Ball,,,,Feinte,Séisme,Ballon illusoire,,,,Royal Academy,This young giant is capable of ground-shaking skills.,"Player Universe: Dinosauria | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Toe-to-Toe with Royal Academy / Alius Route: Surpass Royal Academy! | Free Match: Inazuma Eleven: Royal Academy | Battle Bay Stadium: Royal Academy",,https://dxi4wb638ujep.cloudfront.net/1/k/d/5/d5w9zd0i6nc.png
FALSE,22,IE,,Ben Simmons,Kazumichi Banjo,,Forêt,万丈 一道,Simmons,Simmons,♂,,DF,MF,,Justice,50,Légendaire,110,116,113,159,137,142,119,226,284,331,301,296,279,1176,896,79,83,81,114,98,102,85,162,203,237,216,212,200,842,642,Rolling Steal,Cyclone,Killer Slide,,,,Vol enroulé,Cyclone,Tacle de la mort,,,,Royal Academy,"Lunges for the ball like a mad dog. Size doesn't matter. Once he's on, he won't let go.","Player Universe: Instructus Notara | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Toe-to-Toe with Royal Academy / Alius Route: Surpass Royal Academy! | Free Match: Inazuma Eleven: Royal Academy | Battle Bay Stadium: Royal Academy",,https://dxi4wb638ujep.cloudfront.net/1/k/s/r/srbc08syx-0.png
FALSE,23,IE,,Alan Master,Kenya Narukami,,Vent,成神 健也,Master,Master,♂,,MF,DF,,Breach,50,Légendaire,130,151,152,135,113,109,109,281,368,341,244,248,222,989,899,93,108,109,97,81,78,78,201,263,245,175,178,159,708,644,Nutmeg,Killer Slide,Illusory Ball,,,,Petit pont,Tacle de la mort,Ballon illusoire,,,,"Royal Academy, Neo National",The rhythm from his headphones is the secret to his strength.,"Player Universe: Whistlaria | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Toe-to-Toe with Royal Academy / Alius Route: Surpass Royal Academy! / FF International Route: Replacements?! | Free Match: Inazuma Eleven: Royal Academy / Inazuma Eleven 3: Neo National | Battle Bay Stadium: Royal Academy",,https://dxi4wb638ujep.cloudfront.net/1/k/u/w/uwgaalaes40.png
